"SNAME","CNAME","DNAME","API13","API12","SD_SIG","EL_SIG","MEALS","YR_RND","ACS_K3","ACS_46","ENROLL","PCST_E28","alreadyInRIF","aiRIFtxt","mealsQuant","pcst_e28Quant","letter","LAT","LONG"
"ALOHA ELEMENTARY","LOS ANGELES","ABC UNIFIED",786,"771","YES","YES",82,"NO","26","29",282,124.8,0,"No",2,1,"F","33.835493","-118.083446"
"ALPINE ELEMENTARY","LOS ANGELES","KEPPEL UNION ELEMENTARY",719,"732","YES","YES",74,"NO","24","25",387,169.92,0,"No",1,4,"Out","34.52071","-117.982587"
"ALTA CALIFORNIA ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",674,"688","YES","YES",100,"NO","23","27",564,253.44,0,"No",3,4,"Out","34.231878","-118.45658"
"ALTA LOMA ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",763,"790","YES","YES",100,"NO","23","29",423,195.36,1,"Yes",3,4,"Out","34.04301","-118.339681"
"ALTA VISTA ELEMENTARY","LOS ANGELES","REDONDO BEACH UNIFIED",946,"929","NO","NO",13,"NO","23","30",407,183.84,0,"No",0,4,"Out","33.828674","-118.378729"
"ALTADENA ELEMENTARY","LOS ANGELES","PASADENA UNIFIED",760,"783","YES","YES",93,"NO","22","25",216,100.32,0,"No",3,0,"A","34.185029","-118.134696"
"ALTERNATIVE EDUCATION-SAN JOAQUIN HIGH","ORANGE","IRVINE UNIFIED",895,"888","NO","NO",4,"NO","7","6",80,20.16,0,"No",0,0,"M","33.689618","-117.819244"
"ALVARADO ELEMENTARY","LOS ANGELES","LONG BEACH UNIFIED",860,"847","YES","YES",88,"NO","24","31",277,126.72,0,"No",2,1,"F","33.796645","-118.169388"
"AMANECER PRIMARY CENTER","LOS ANGELES","LOS ANGELES UNIFIED",782,"846","YES","YES",100,"NO","24","N/A",78,36.96,0,"No",3,0,"A","34.024432","-118.185863"
"AMBASSADOR SCHOOL OF GLOBAL EDUCATION","LOS ANGELES","LOS ANGELES UNIFIED",729,"741","YES","YES",100,"NO","21","26",240,109.44,0,"No",3,1,"B","34.057795","-118.297654"
"AMBLER AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",794,"835","YES","NO",70,"NO","21","23",312,144.48,0,"No",1,2,"K","33.87823","-118.270771"
"AMESTOY ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",825,"840","YES","YES",100,"NO","22","27",549,253.44,0,"No",3,4,"Out","33.89566","-118.293161"
"ANAHEIM HILLS ELEMENTARY","ORANGE","ORANGE UNIFIED",909,"905","NO","NO",6,"NO","30","34",412,192.48,0,"No",0,4,"Out","33.82908","-117.760321"
"ANATOLA AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",825,"792","YES","YES",100,"NO","20","20",292,129.6,0,"No",3,2,"C","34.20324","-118.514091"
"ANAVERDE HILLS","LOS ANGELES","WESTSIDE UNION ELEMENTARY",866,"C","YES","NO",58,"NO","30","28",207,88.8,0,"No",1,0,"I","34.593794","-118.181153"
"ANDASOL AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",863,"849","YES","YES",55,"NO","20","22",248,110.88,0,"No",1,1,"J","34.25469","-118.514371"
"ANDERSON ELEMENTARY","LOS ANGELES","COMPTON UNIFIED",838,"830","YES","YES",74,"NO","19","19",312,133.44,0,"No",1,2,"K","33.914191","-118.2328"
"ANDERSON ELEMENTARY","ORANGE","WESTMINSTER",783,"795","YES","YES",87,"YES","23","28",506,230.4,0,"No",2,4,"Out","33.76091","-117.974041"
