"SNAME","CNAME","DNAME","API13","API12","SD_SIG","EL_SIG","MEALS","YR_RND","ACS_K3","ACS_46","ENROLL","PCST_E28","alreadyInRIF","aiRIFtxt","mealsQuant","pcst_e28Quant","letter","LAT","LONG"
"EVERGREEN AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",749,"758","YES","YES",100,"NO","20","22",589,272.16,0,"No",3,4,"Out","34.05187","-118.197201"
"EVERGREEN ELEMENTARY","LOS ANGELES","EAST WHITTIER CITY ELEMENTARY",848,"831","YES","YES",85,"NO","18","19",328,150.72,0,"No",2,3,"H","33.963532","-118.04182"
"EVERGREEN ELEMENTARY","LOS ANGELES","WALNUT VALLEY UNIFIED",933,"942","NO","YES",15,"NO","24","34",398,184.32,0,"No",0,4,"Out","33.979296","-117.834524"
"EXCELSIOR ELEMENTARY","ORANGE","GARDEN GROVE UNIFIED",869,"872","YES","YES",77,"NO","26","33",367,168.48,0,"No",2,4,"Out","33.76467","-117.947181"
"EXTERA PUBLIC","LOS ANGELES","LOS ANGELES UNIFIED",802,"745","YES","YES",87,"NO","24","22",186,83.04,0,"No",2,0,"E","34.0419","-118.213331"
"F. D. ROOSEVELT ELEMENTARY","LOS ANGELES","LAWNDALE ELEMENTARY",755,"777","YES","YES",90,"NO","18","30",400,186.24,0,"No",2,4,"Out","33.895132","-118.33455"
"FAIR AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",825,"812","YES","YES",91,"NO","23","25",637,296.16,0,"No",2,4,"Out","34.18916","-118.375241"
"FAIR OAKS RANCH COMMUNITY","LOS ANGELES","SULPHUR SPRINGS UNION",851,"855","YES","YES",32,"NO","23","29",674,305.76,0,"No",0,4,"Out","34.40338","-118.448631"
"FAIRBURN AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",941,"976","NO","NO",9,"NO","22","32",273,123.36,0,"No",0,1,"N","34.05878","-118.431571"
"FAIRGROVE ACADEMY","LOS ANGELES","HACIENDA LA PUENTE UNIFIED",857,"869","YES","YES",85,"NO","20","33",729,348,0,"No",2,4,"Out","34.04065","-117.945671"
"FAIRHAVEN ELEMENTARY","ORANGE","ORANGE UNIFIED",774,"793","YES","YES",88,"NO","19","23",370,165.12,0,"No",2,3,"H","33.77415","-117.850171"
"FAIRMONT ELEMENTARY","ORANGE","PLACENTIA-YORBA LINDA UNIFIED",937,"938","NO","NO",8,"NO","21","35",643,301.44,0,"No",0,4,"Out","33.887","-117.791331"
"FARMDALE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",701,"724","YES","YES",100,"NO","14","16",332,148.8,1,"Yes",3,2,"C","34.077649","-118.179966"
"FARRAGUT ELEMENTARY","LOS ANGELES","CULVER CITY UNIFIED",944,"940","YES","NO",26,"NO","24","30",374,177.12,0,"No",0,4,"Out","34.007505","-118.399379"
"FAYLANE ELEMENTARY","ORANGE","GARDEN GROVE UNIFIED",831,"826","YES","YES",65,"NO","27","27",434,203.04,0,"No",1,4,"Out","33.793235","-117.952734"
"FELTON ELEMENTARY","LOS ANGELES","LENNOX",795,"829","YES","YES",97,"NO","19","22",352,166.08,1,"Yes",3,3,"D","33.941552","-118.366065"
"FENTON AVENUE CHARTER","LOS ANGELES","LOS ANGELES UNIFIED",808,"815","YES","YES",89,"YES","20","23",678,308.16,1,"Yes",2,4,"Out","34.280602","-118.390743"
"FENTON PRIMARY CENTER","LOS ANGELES","LOS ANGELES UNIFIED",832,"B","NO","NO",86,"YES","17","N/A",243,107.52,0,"No",2,1,"F","34.280602","-118.390743"
"FERN DRIVE ELEMENTARY","ORANGE","FULLERTON ELEMENTARY",869,"876","YES","YES",28,"NO","32","34",413,187.2,0,"No",0,4,"Out","33.87847","-117.951541"
"FERN ELEMENTARY","LOS ANGELES","TORRANCE UNIFIED",844,"864","YES","YES",37,"NO","30","35",330,155.52,0,"No",0,3,"P","33.834938","-118.332082"
"FERNANGELES ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",730,"775","YES","YES",100,"NO","19","21",494,224.16,0,"No",3,4,"Out","34.23173","-118.395031"
"FIELD (EUGENE) ELEMENTARY","LOS ANGELES","PASADENA UNIFIED",785,"787","YES","YES",63,"NO","28","25",260,119.04,0,"No",1,1,"J","34.160878","-118.076433"
"FIFTEENTH STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",817,"822","YES","YES",100,"NO","21","27",399,179.04,0,"No",3,4,"Out","33.73016","-118.286571"
"FIFTY-FOURTH STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",729,"764","YES","NO",100,"NO","21","25",239,105.12,0,"No",3,1,"B","33.99188","-118.343461"
"FIFTY-NINTH STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",709,"699","YES","YES",100,"NO","24","26",260,114.72,0,"No",3,1,"B","33.98638","-118.320101"
"FIFTY-SECOND STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",698,"671","YES","YES",82,"NO","21","25",527,226.08,0,"No",2,4,"Out","33.99585","-118.288421"
"FIGUEROA STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",743,"755","YES","YES",81,"NO","21","31",452,196.8,0,"No",2,4,"Out","33.93431","-118.283731"
"FINLEY ELEMENTARY","ORANGE","WESTMINSTER",812,"796","YES","YES",92,"YES","22","28",280,123.84,0,"No",2,1,"F","33.76455","-118.017531"
"FIRST STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",745,"755","YES","YES",100,"NO","23","26",578,269.28,0,"No",3,4,"Out","34.04027","-118.204501"
"FISHBURN AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",782,"823","YES","YES",88,"NO","22","25",419,190.56,0,"No",2,4,"Out","33.98897","-118.191631"
"FLETCHER DRIVE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",747,"741","YES","YES",100,"NO","22","24",310,144.48,1,"Yes",3,2,"C","34.11767","-118.240131"
"FLETCHER ELEMENTARY","ORANGE","ORANGE UNIFIED",774,"773","YES","YES",66,"NO","27","27",213,96.48,0,"No",1,0,"I","33.83052","-117.857701"
"FLORENCE AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",823,"800","YES","YES",100,"NO","21","22",555,255.84,1,"Yes",3,4,"Out","33.97379","-118.238801"
"FLORENCE GRIFFITH JOYNER ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",618,"639","YES","YES",100,"NO","21","25",436,192.48,0,"No",3,4,"Out","33.94369","-118.237871"
"FOOTHILL RANCH ELEMENTARY","ORANGE","SADDLEBACK VALLEY UNIFIED",909,"910","NO","NO",8,"NO","29","34",849,400.8,0,"No",0,4,"Out","33.682212","-117.661503"
"FORD BOULEVARD ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",778,"791","YES","YES",100,"NO","22","27",860,396.48,1,"Yes",3,4,"Out","34.02024","-118.171411"
"FORTY-NINTH STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",676,"709","YES","YES",84,"NO","23","28",566,256.8,0,"No",2,4,"Out","33.99809","-118.262091"
"FORTY-SECOND STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",640,"629","YES","NO",87,"NO","23","22",188,77.28,0,"No",2,0,"E","34.00634","-118.322001"
"FOSTER ELEMENTARY","LOS ANGELES","BALDWIN PARK UNIFIED",789,"829","YES","YES",86,"NO","18","28",473,216,0,"No",2,4,"Out","34.071605","-117.972181"
"FOSTER ELEMENTARY","LOS ANGELES","COMPTON UNIFIED",757,"791","YES","YES",71,"NO","30","29",491,218.88,0,"No",1,4,"Out","33.906228","-118.202621"
"FOSTER ROAD ELEMENTARY","LOS ANGELES","NORWALK-LA MIRADA UNIFIED",844,"833","YES","YES",82,"NO","26","27",220,99.84,0,"No",2,0,"E","33.909304","-118.034467"
"FOURTH STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",782,"811","YES","YES",100,"NO","22","25",707,325.92,1,"Yes",3,4,"Out","34.02795","-118.153321"
"FRANCES BLEND SPECIAL EDUCATION CENTER","LOS ANGELES","LOS ANGELES UNIFIED",870,"809","NO","NO",100,"NO","6","8",46,21.12,0,"No",3,0,"A","34.08116","-118.316011"
"FRANCIS HOPKINSON ELEMENTARY","ORANGE","LOS ALAMITOS UNIFIED",965,"957","NO","NO",6,"NO","24","38",454,215.04,0,"No",0,4,"Out","33.78042","-118.086881"
"FRANK C. LEAL ELEMENTARY","LOS ANGELES","ABC UNIFIED",972,"967","YES","YES",17,"NO","25","30",540,249.12,0,"No",0,4,"Out","33.860763","-118.05589"
"FRANK DEL OLMO ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",819,"848","YES","YES",100,"YES","22","31",540,237.6,0,"No",3,4,"Out","34.07292","-118.292591"
"FRANK E. WOODRUFF ELEMENTARY","LOS ANGELES","BELLFLOWER UNIFIED",753,"774","YES","YES",73,"NO","30","31",494,220.32,0,"No",1,4,"Out","33.894482","-118.1218"
"FRANK VESSELS ELEMENTARY","ORANGE","CYPRESS ELEMENTARY",891,"902","YES","YES",28,"NO","23","29",476,223.2,0,"No",0,4,"Out","33.81155","-118.030271"
"FRANKLIN (BENJAMIN) ELEMENTARY","ORANGE","ANAHEIM CITY",807,"833","YES","YES",88,"NO","28","30",614,277.92,0,"No",2,4,"Out","33.82839","-117.918891"
"FRANKLIN AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",916,"914","YES","YES",37,"NO","23","34",323,153.12,0,"No",0,3,"P","34.10597","-118.284691"
"FRANKLIN ELEMENTARY","LOS ANGELES","PASADENA UNIFIED",781,"777","YES","YES",93,"NO","23","18",217,97.44,0,"No",3,0,"A","34.192369","-118.160586"
"FRANKLIN ELEMENTARY","LOS ANGELES","SANTA MONICA-MALIBU UNIFIED",949,"964","NO","NO",7,"NO","26","29",526,242.88,0,"No",0,4,"Out","34.039002","-118.4848"
"FRANKLIN ELEMENTARY","ORANGE","SANTA ANA UNIFIED",808,"819","YES","YES",98,"NO","28","27",293,131.52,0,"No",3,2,"C","33.73518","-117.869231"
"FRED EKSTRAND ELEMENTARY","LOS ANGELES","BONITA UNIFIED",878,"863","YES","NO",63,"NO","27","30",275,122.4,0,"No",1,1,"J","34.11123","-117.801621"
"FREDERICK DOUGLASS ACADEMY ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",741,"730","YES","NO",85,"NO","29","28",187,84.96,0,"No",2,0,"E","34.03447","-118.308621"
"FREDERICK REMINGTON ELEMENTARY","ORANGE","SANTA ANA UNIFIED",808,"808","YES","YES",96,"NO","22","23",221,100.32,0,"No",3,0,"A","33.74867","-117.850351"
"FREEMAN (DANIEL) ELEMENTARY","LOS ANGELES","INGLEWOOD UNIFIED",721,"713","YES","NO",94,"NO","21","25",118,49.44,0,"No",3,0,"A","33.967031","-118.322898"
"FREMONT ELEMENTARY","LOS ANGELES","ALHAMBRA UNIFIED",832,"833","YES","YES",77,"NO","22","30",482,222.72,0,"No",2,4,"Out","34.070882","-118.151052"
"FREMONT ELEMENTARY","LOS ANGELES","LONG BEACH UNIFIED",919,"933","YES","NO",25,"NO","29","35",315,145.92,0,"No",0,2,"O","33.77153","-118.1457"
"FREMONT ELEMENTARY","LOS ANGELES","MONTEBELLO UNIFIED",708,"747","YES","YES",92,"NO","30","32",338,154.08,0,"No",2,3,"H","34.01244","-118.1008"
"FREMONT ELEMENTARY","ORANGE","SANTA ANA UNIFIED",752,"784","YES","YES",97,"NO","29","30",519,240,0,"No",3,4,"Out","33.75286","-117.895931"
"FRIES AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",771,"775","YES","YES",73,"NO","22","27",355,153.6,0,"No",1,3,"L","33.78872","-118.266141"
"FRYBERGER ELEMENTARY","ORANGE","WESTMINSTER",823,"839","YES","YES",76,"YES","26","29",314,143.04,0,"No",1,2,"K","33.77063","-118.008801"
"FULLBRIGHT AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",831,"831","YES","YES",100,"NO","22","28",312,144,0,"No",3,2,"C","34.19648","-118.576281"
"FUTURO COLLEGE PREPARATORY ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",863,"908","YES","NO",97,"NO","32","N/A",127,57.6,0,"No",3,0,"A","34.02184","-118.210541"
"GABRIELLA CHARTER","LOS ANGELES","LOS ANGELES UNIFIED",892,"892","YES","YES",88,"NO","22","26",347,163.68,0,"No",2,3,"H","34.07941","-118.257241"
"GALLATIN ELEMENTARY","LOS ANGELES","DOWNEY UNIFIED",835,"829","YES","YES",62,"NO","25","30",493,229.44,0,"No",1,4,"Out","33.95577","-118.118021"
"GANT ELEMENTARY","LOS ANGELES","LONG BEACH UNIFIED",940,"949","YES","NO",21,"NO","26","28",470,217.44,0,"No",0,4,"Out","33.790073","-118.118875"
"GARDEN GROVE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",800,"798","YES","YES",100,"NO","20","31",279,127.2,0,"No",3,1,"B","34.20544","-118.528431"
"GARDEN PARK ELEMENTARY","ORANGE","GARDEN GROVE UNIFIED",878,"899","NO","NO",25,"NO","24","28",174,80.16,0,"No",0,0,"M","33.77681","-118.018691"
"GARDENA ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",801,"791","YES","YES",100,"NO","22","24",396,183.36,0,"No",3,4,"Out","33.88233","-118.286581"
"GARDENHILL ELEMENTARY","LOS ANGELES","NORWALK-LA MIRADA UNIFIED",915,"911","YES","NO",43,"NO","27","31",487,224.16,0,"No",1,4,"Out","33.910916","-118.02186"
"GARDNER STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",864,"871","YES","YES",53,"NO","21","32",310,140.64,0,"No",1,2,"K","34.09931","-118.352031"
"GARFIELD ELEMENTARY","LOS ANGELES","ALHAMBRA UNIFIED",881,"868","YES","YES",74,"NO","26","27",578,264,0,"No",1,4,"Out","34.101364","-118.132809"
"GARFIELD ELEMENTARY","LOS ANGELES","LONG BEACH UNIFIED",786,"790","YES","YES",93,"NO","28","29",523,238.56,0,"No",3,4,"Out","33.797869","-118.213175"
"GARFIELD ELEMENTARY","LOS ANGELES","MONTEBELLO UNIFIED",711,"743","YES","YES",100,"NO","32","31",539,244.32,0,"No",3,4,"Out","33.964409","-118.152518"
"GARFIELD ELEMENTARY","ORANGE","SANTA ANA UNIFIED",729,"754","YES","YES",98,"NO","31","31",449,204.96,0,"No",3,4,"Out","33.749097","-117.85981"
"GARR ACADEMY OF MATH AND ENTREPRENEURIAL","LOS ANGELES","LOS ANGELES UNIFIED",801,"779","YES","NO",78,NA,NA,NA,221,100.32,0,"No",2,0,"E","33.99665","-118.309281"
"GARVANZA ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",803,"835","YES","YES",100,"NO","23","25",317,144.48,0,"No",3,2,"C","34.11762","-118.182901"
"GARZA (CARMEN LOMAS) PRIMARY CENTER","LOS ANGELES","LOS ANGELES UNIFIED",889,"828","NO","NO",100,"NO","23","N/A",47,20.64,0,"No",3,0,"A","34.02467","-118.218601"
"GATES STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",797,"792","YES","YES",100,"NO","21","28",501,225.6,0,"No",3,4,"Out","34.07262","-118.205831"
"GAUER (MELBOURNE A.) ELEMENTARY","ORANGE","ANAHEIM CITY",791,"800","YES","YES",89,"NO","28","30",446,197.76,0,"No",2,4,"Out","33.84266","-117.967031"
"GAULDIN ELEMENTARY","LOS ANGELES","DOWNEY UNIFIED",799,"769","YES","YES",92,"NO","25","25",432,193.44,0,"No",2,4,"Out","33.920511","-118.120074"
"GAULT STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",763,"780","YES","YES",100,"NO","21","28",256,115.68,0,"No",3,1,"B","34.19854","-118.504441"
"GENEVIEVE M. CROSBY ELEMENTARY","ORANGE","GARDEN GROVE UNIFIED",754,"763","YES","YES",67,"NO","24","33",393,183.84,0,"No",1,4,"Out","33.78605","-117.924901"
"GEORGE B. MILLER ELEMENTARY","ORANGE","CENTRALIA ELEMENTARY",905,"901","YES","YES",51,"NO","27","30",392,180.96,0,"No",1,4,"Out","33.84908","-118.034021"
"GEORGE DE LA TORRE JR. ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",775,"774","YES","YES",86,"NO","21","27",468,211.2,1,"Yes",2,4,"Out","33.776402","-118.265817"
"GEORGE KEY","ORANGE","PLACENTIA-YORBA LINDA UNIFIED",765,"744","NO","NO",38,"NO","8","7",34,8.16,0,"No",0,0,"M","33.90373","-117.8514"
"GEORGE WASHINGTON CARVER ELEMENTARY","ORANGE","SANTA ANA UNIFIED",738,"777","YES","YES",98,"NO","27","N/A",277,126.72,0,"No",3,1,"B","33.75708","-117.923871"
"GEORGE WASHINGTON ELEMENTARY","LOS ANGELES","BURBANK UNIFIED",825,"826","YES","YES",64,"NO","23","28",332,153.6,0,"No",1,3,"L","34.198641","-118.3352"
"GEORGE WHITE ELEMENTARY","ORANGE","CAPISTRANO UNIFIED",896,"907","NO","NO",18,"NO","25","30",459,211.2,0,"No",0,4,"Out","33.515845","-117.685811"
"GERMAIN ACADEMY FOR ACADEMIC ACHIEVEMENT","LOS ANGELES","LOS ANGELES UNIFIED",866,"895","YES","YES",52,"NO","23","32",335,156,0,"No",1,3,"L","34.26178","-118.585291"
"GIDLEY ELEMENTARY","LOS ANGELES","EL MONTE CITY",760,"769","YES","YES",86,"NO","30","26",522,232.32,0,"No",2,4,"Out","34.091061","-118.043806"
"GILBERT ELEMENTARY","ORANGE","GARDEN GROVE UNIFIED",842,"825","YES","YES",67,"NO","28","33",403,189.12,0,"No",1,4,"Out","33.79675","-117.966401"
"GISLER (ROBERT) ELEMENTARY","ORANGE","FOUNTAIN VALLEY ELEMENTARY",899,"894","YES","NO",19,"NO","26","29",395,184.32,0,"No",0,4,"Out","33.69192","-117.948671"
"GLADSTONE ELEMENTARY","LOS ANGELES","BONITA UNIFIED",911,"919","YES","NO",34,"NO","24","29",359,164.16,0,"No",0,3,"P","34.113634","-117.833752"
"GLADSTONE STREET ELEMENTARY","LOS ANGELES","AZUSA UNIFIED",769,"769","YES","YES",92,"NO","22","30",241,109.44,0,"No",2,1,"F","34.11309","-117.887661"
"GLASSELL PARK ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",742,"749","YES","YES",91,"NO","20","26",400,185.28,0,"No",2,4,"Out","34.10467","-118.235991"
"GLEDHILL STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",829,"839","YES","YES",76,"NO","22","25",399,188.16,0,"No",1,4,"Out","34.24104","-118.481681"
"GLEN ALTA ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",752,"739","YES","YES",100,"NO","19","24",200,89.76,0,"No",3,0,"A","34.08528","-118.199311"
"GLEN H. DYSINGER SR. ELEMENTARY","ORANGE","CENTRALIA ELEMENTARY",890,"882","YES","YES",50,"NO","29","29",328,154.08,0,"No",1,3,"L","33.84945","-117.990531"
"GLEN OAK ELEMENTARY","LOS ANGELES","CHARTER OAK UNIFIED",833,"826","YES","NO",59,"NO","23","26",355,164.64,0,"No",1,3,"L","34.096728","-117.845442"
"GLEN YERMO ELEMENTARY","ORANGE","SADDLEBACK VALLEY UNIFIED",813,"778","YES","YES",65,"NO","24","36",246,107.52,0,"No",1,1,"J","33.62931","-117.668801"
"GLENFELIZ BOULEVARD ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",814,"834","YES","YES",79,"NO","25","29",280,130.56,0,"No",2,2,"G","34.12274","-118.267071"
"GLENKNOLL ELEMENTARY","ORANGE","PLACENTIA-YORBA LINDA UNIFIED",945,"938","NO","NO",15,"NO","24","37",344,160.32,0,"No",0,3,"P","33.86936","-117.788261"
"GLENOAKS ELEMENTARY","LOS ANGELES","GLENDALE UNIFIED",871,"865","YES","YES",34,"NO","22","35",385,181.92,0,"No",0,4,"Out","34.151618","-118.222245"
"GLENVIEW ELEMENTARY","ORANGE","PLACENTIA-YORBA LINDA UNIFIED",811,"848","YES","YES",46,"NO","31","36",340,156.96,0,"No",1,3,"L","33.869048","-117.81376"
"GLENWOOD ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",762,"774","YES","YES",100,"NO","19","26",308,140.64,0,"No",3,2,"C","34.21626","-118.358761"
"GLOBAL EDUCATION ACADEMY","LOS ANGELES","LOS ANGELES UNIFIED",849,"844","YES","YES",100,"NO","20","20",159,73.92,0,"No",3,0,"A","34.00838","-118.282971"
"GOETHE INTERNATIONAL CHARTER","LOS ANGELES","LOS ANGELES UNIFIED",921,"891","NO","NO",20,"NO","21","21",169,78.72,0,"No",0,0,"M","33.987071","-118.421326"
"GOLDEN ELEMENTARY","ORANGE","PLACENTIA-YORBA LINDA UNIFIED",946,"947","NO","NO",10,"NO","29","32",642,305.28,0,"No",0,4,"Out","33.9029","-117.851771"
"GOLDEN HILL ELEMENTARY","ORANGE","FULLERTON ELEMENTARY",890,"893","YES","YES",28,"NO","28","30",545,254.4,0,"No",0,4,"Out","33.8784","-117.939371"
"GOLDEN OAK COMMUNITY","LOS ANGELES","SULPHUR SPRINGS UNION",910,"909","YES","YES",17,"NO","25","30",350,163.2,0,"No",0,3,"P","34.391836","-118.455221"
"GOLDEN POPPY ELEMENTARY","LOS ANGELES","PALMDALE ELEMENTARY",735,"727","YES","YES",79,"NO","26","28",582,240.96,0,"No",2,4,"Out","34.569473","-118.01948"
"GOLDEN SPRINGS ELEMENTARY","LOS ANGELES","POMONA UNIFIED",817,"842","YES","YES",61,"NO","27","30",504,231.84,0,"No",1,4,"Out","34.024513","-117.801334"
"GOLDEN VIEW ELEMENTARY","ORANGE","OCEAN VIEW",866,"876","YES","YES",34,"NO","27","28",361,162.24,0,"No",0,3,"P","33.71108","-118.011931"
"GOMPERS K-8","LOS ANGELES","LONG BEACH UNIFIED",836,"834","YES","NO",49,"NO","27","31",660,298.56,0,"No",1,4,"Out","33.852016","-118.122921"
"GORDON H. BEATTY ELEMENTARY","ORANGE","BUENA PARK ELEMENTARY",807,"834","YES","YES",72,"NO","27","33",635,289.44,0,"No",1,4,"Out","33.88482","-117.990721"
"GORMAN ELEMENTARY","LOS ANGELES","GORMAN ELEMENTARY",752,"710","NO","NO",62,"NO","19","22",79,36.48,0,"No",1,0,"I","34.79252","-118.853824"
"GRACE MILLER ELEMENTARY","LOS ANGELES","BONITA UNIFIED",890,"893","YES","NO",38,"NO","22","34",271,125.28,0,"No",0,1,"N","34.109235","-117.774766"
"GRAHAM ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",701,"742","YES","YES",100,"NO","22","30",525,236.64,0,"No",3,4,"Out","33.961","-118.238001"
"GRANADA ELEMENTARY","LOS ANGELES","ALHAMBRA UNIFIED",841,"863","YES","YES",80,"NO","19","27",416,187.68,0,"No",2,4,"Out","34.10081","-118.118321"
"GRANADA ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",837,"829","YES","YES",71,"NO","21","22",269,124.32,0,"No",1,1,"J","34.26663","-118.507711"
"GRAND VIEW BOULEVARD ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",805,"775","YES","YES",82,"NO","18","29",319,145.92,0,"No",2,2,"G","34.001516","-118.428935"
"GRAND VIEW ELEMENTARY","LOS ANGELES","MANHATTAN BEACH UNIFIED",966,"969","NO","NO",1,"NO","22","31",521,248.16,1,"Yes",0,4,"Out","33.894876","-118.412234"
"GRANDVIEW, COLLEGE PREPARATORY ACADEMY","LOS ANGELES","HACIENDA LA PUENTE UNIFIED",800,"798","YES","YES",91,"NO","20","28",601,267.84,0,"No",2,4,"Out","34.029794","-117.921706"
"GRANT ELEMENTARY","LOS ANGELES","LONG BEACH UNIFIED",781,"804","YES","YES",93,"NO","29","31",684,315.84,0,"No",3,4,"Out","33.871448","-118.176822"
"GRANT ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",789,"783","YES","YES",100,"NO","21","27",459,206.88,0,"No",3,4,"Out","34.09965","-118.312521"
"GRANT ELEMENTARY","LOS ANGELES","SANTA MONICA-MALIBU UNIFIED",878,"894","YES","NO",30,"NO","24","26",428,196.8,0,"No",0,4,"Out","34.01924","-118.4626"
"GRAPE STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",709,"736","YES","YES",100,"NO","22","26",407,168.96,0,"No",3,4,"Out","33.93384","-118.237661"
"GRATTS LEARNING ACADEMY FOR YOUNG SCHOLA","LOS ANGELES","LOS ANGELES UNIFIED",746,"751","YES","YES",100,"NO","19","22",602,271.2,0,"No",3,4,"Out","34.058437","-118.262798"
"GRAZIDE ELEMENTARY","LOS ANGELES","HACIENDA LA PUENTE UNIFIED",953,"949","YES","NO",29,"NO","20","32",415,192.96,0,"No",0,4,"Out","33.983435","-117.961931"
"GREENTREE ELEMENTARY","ORANGE","IRVINE UNIFIED",910,"914","YES","YES",19,"NO","29","29",385,178.08,0,"No",0,4,"Out","33.698169","-117.789143"
"GREENVILLE FUNDAMENTAL ELEMENTARY","ORANGE","SANTA ANA UNIFIED",872,"886","YES","YES",71,"NO","30","28",724,341.76,0,"No",1,4,"Out","33.699059","-117.899088"
"GREENWOOD ELEMENTARY","LOS ANGELES","MONTEBELLO UNIFIED",741,"736","YES","YES",99,"NO","29","33",716,321.6,0,"No",3,4,"Out","33.99698","-118.118"
"GREGG ANDERSON ACADEMY","LOS ANGELES","WESTSIDE UNION ELEMENTARY",934,"B","NO","NO",21,"NO","29","28",613,280.8,0,"No",0,4,"Out","34.623643","-118.221642"
"GRIDLEY STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",770,"767","YES","YES",100,"NO","21","25",469,211.2,0,"No",3,4,"Out","34.30213","-118.429881"
"GRIFFIN AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",746,"753","YES","YES",100,"NO","21","27",376,174.72,0,"No",3,4,"Out","34.06812","-118.212311"
"GROVECENTER ELEMENTARY","LOS ANGELES","COVINA-VALLEY UNIFIED",874,"889","YES","YES",65,"NO","21","22",327,148.8,0,"No",1,2,"K","34.08548","-117.917651"
"GUIDANCE CHARTER","LOS ANGELES","PALMDALE ELEMENTARY",773,"792","YES","YES",77,"NO","19","24",240,104.16,0,"No",2,1,"F","34.579911","-118.108671"
"GUIN FOSS ELEMENTARY","ORANGE","TUSTIN UNIFIED",898,"887","YES","YES",47,"NO","21","28",273,125.28,0,"No",1,1,"J","33.75598","-117.811461"
"GUINN (JAMES M.) ELEMENTARY","ORANGE","ANAHEIM CITY",758,"762","YES","YES",88,"NO","27","30",622,281.76,0,"No",2,4,"Out","33.82265","-117.881651"
"GULF AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",834,"828","YES","YES",89,"NO","20","22",466,210.24,0,"No",2,4,"Out","33.78548","-118.272721"
"HADDON AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",779,"789","YES","YES",100,"NO","22","27",552,246.72,0,"No",3,4,"Out","34.25378","-118.421401"
"HALLDALE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",835,"830","YES","YES",84,"NO","22","23",403,187.2,0,"No",2,4,"Out","33.83332","-118.300571"
"HAMILTON ELEMENTARY","LOS ANGELES","PASADENA UNIFIED",866,"901","YES","YES",60,"NO","25","31",352,166.56,0,"No",1,3,"L","34.14104","-118.107221"
"HAMLIN CHARTER ACADEMY","LOS ANGELES","LOS ANGELES UNIFIED",865,"874","YES","YES",48,"NO","21","23",248,108,0,"No",1,1,"J","34.18982","-118.619991"
